State Abbreviation,Larceny-theft,Property crime,State,City,Burglary,Population 2000,Aggravated assault,Murder and non-negligent manslaughter,Arson,Forcible rape,Violent crime,Motor vehicle theft,County,latitude,longitude
TX,45.0,59.0,TX,Lexington,14.0,1178.0,6.0,0.0,1,0.0,6.0,0.0,Lee County,30.4190979003906,-97.0116500854492
TX,68.0,101.0,TX,Lago Vista,27.0,4507.0,3.0,0.0,1,0.0,5.0,6.0,Travis County,30.4601974487305,-97.9883499145508
TX,29.0,52.0,TX,Jonestown,23.0,1681.0,5.0,0.0,0,0.0,5.0,0.0,Travis County,30.495475769043,-97.9233474731445
TX,92.0,131.0,TX,Silsbee,34.0,6393.0,9.0,0.0,0,0.0,12.0,5.0,Hardin County,30.3490982055664,-94.1779632568359
TX,38.0,49.0,TX,Sonora,10.0,2924.0,11.0,0.0,1,0.0,11.0,1.0,Sutton County,30.5668506622314,-100.643432617188
TX,59.0,78.0,TX,Hutto,17.0,1250.0,6.0,0.0,0,0.0,6.0,2.0,Williamson County,30.5426998138428,-97.5466690063477
TX,22.0,29.0,TX,Caldwell,3.0,3449.0,5.0,0.0,0,0.0,5.0,4.0,Burleson County,30.5313148498535,-96.6930313110352
TX,242.0,305.0,TX,Leander,54.0,7596.0,16.0,0.0,2,0.0,18.0,9.0,Williamson County,30.5788040161133,-97.8530731201172
TX,14.0,18.0,TX,Thrall,3.0,710.0,1.0,0.0,0,0.0,1.0,1.0,Williamson County,30.5904808044434,-97.2969436645508
TX,6.0,12.0,TX,Thorndale,5.0,1278.0,2.0,0.0,0,0.0,3.0,1.0,Milam County,30.6138076782227,-97.2055435180664
TX,10.0,18.0,TX,Granger,8.0,1299.0,8.0,0.0,0,0.0,8.0,0.0,Williamson County,30.7176933288574,-97.4427795410156
TX,35.0,49.0,TX,Kirbyville,7.0,2085.0,8.0,0.0,1,0.0,8.0,7.0,Jasper County,30.6604843139648,-93.8926849365234
TX,20.0,28.0,TX,Florence,8.0,1054.0,4.0,0.0,1,0.0,4.0,0.0,Williamson County,30.8412952423096,-97.7936172485352
TX,10.0,15.0,TX,Woodville,5.0,2415.0,4.0,0.0,0,0.0,5.0,0.0,Tyler County,30.7751998901367,-94.4154815673828
TX,103.0,136.0,TX,Pecos,28.0,9501.0,28.0,0.0,0,0.0,31.0,5.0,Reeves County,31.4229145050049,-103.493232727051
TX,23.0,30.0,TX,Hemphill,7.0,1106.0,1.0,0.0,0,0.0,1.0,0.0,Sabine County,31.3407459259033,-93.8468551635742
TX,66.0,98.0,TX,Beverly Hills,22.0,2113.0,11.0,0.0,0,0.0,11.0,10.0,McLennan County,31.521556854248,-97.1538925170898
TX,34.0,64.0,TX,Groesbeck,26.0,4291.0,6.0,0.0,0,0.0,6.0,4.0,Limestone County,31.524341583252,-96.5338668823242
TX,20.0,39.0,TX,Grapeland,13.0,1451.0,3.0,0.0,0,0.0,4.0,6.0,Houston County,31.4918479919434,-95.4785614013672
TX,0.0,7.0,TX,Wells,6.0,769.0,5.0,0.0,3,0.0,5.0,1.0,Cherokee County,31.4885101318359,-94.9399337768555
TX,103.0,153.0,TX,Monahans,48.0,6821.0,14.0,2.0,0,0.0,16.0,2.0,Ward County,31.5943012237549,-102.892654418945
TX,11.0,23.0,TX,Teague,5.0,4557.0,5.0,0.0,0,0.0,8.0,7.0,Freestone County,31.6271095275879,-96.2838592529297
TX,15.0,25.0,TX,Bangs,10.0,1620.0,3.0,0.0,0,0.0,3.0,0.0,Brown County,31.7170906066895,-99.1325454711914
TX,73.0,96.0,TX,Ballinger,20.0,4243.0,2.0,0.0,0,0.0,2.0,3.0,Runnels County,31.7382106781006,-99.9473037719727
TX,3.0,3.0,TX,Santa Anna,0.0,1081.0,1.0,0.0,0,0.0,2.0,0.0,Coleman County,31.7420883178711,-99.3217239379883
TX,59.0,86.0,TX,Early,20.0,2588.0,1.0,0.0,0,0.0,1.0,7.0,Brown County,31.7420921325684,-98.9456100463867
